kommune;kommunenavn;aargang;funksjon;eid_areal_m2;portefoljeareal_m2;drift_kr;energi_kr;renhold_kr;vedlikehold_kr;forvaltning_kr;drift_kr_m2;energi_kr_m2;renhold_kr_m2;ovrig_drift_kr_m2;vedlikehold_kr_m2;forvaltning_kr_m2;dv_kr_m2;fdv_kr_m2;energibruk_kwh;kwh_m2;fornybarandel;implisitt_energipris_kr_kwh;flagg_kostnad;flagg_energi
0301;Oslo - Oslove;2022;381;248893.0;2333925.0;511438000.0;29840000.0;23053000.0;89891000.0;485961000.0;2054.8508796952906;119.89087680248139;92.62213079516097;1842.3378720976484;361.16323078592006;208.21620232012597;2416.014110481211;2624.230312801337;42279000.0;169.86817628458815;1.0;0.705787743324109;;
1101;Eigersund;2022;381;4631.0;49539.0;9339000.0;3535000.0;963000.0;497000.0;9466000.0;2016.627078384798;763.3340531202764;207.94644785143598;1045.3465774130857;107.32023321096955;191.08177395587316;2123.9473115957676;2315.029085551641;1352000.0;291.9455841071043;1.0;2.614644970414201;;
1103;Stavanger;2022;381;104753.0;681196.0;84073000.0;28220000.0;4259000.0;11225000.0;69252000.0;802.5832195736638;269.39562590092885;40.65754680056896;492.53004687216594;107.15683560375359;101.66237030164592;909.7400551774174;1011.4024254790634;13094000.0;124.99880671675274;0.9883916297540858;2.155185581182221;renhold_urimelig_lav;
1106;Haugesund;2022;381;22991.0;135720.0;19569000.0;6488000.0;949000.0;2339000.0;3028000.0;851.1591492323083;282.19738158409814;41.27702144317342;527.6847462050367;101.73546170240529;22.310639552018863;952.8946109347136;975.2052504867324;3842000.0;167.1088686877474;0.5580426861009891;1.6887038001041124;renhold_urimelig_lav;
1108;Sandnes;2022;381;33580.0;315523.0;49990000.0;8196000.0;3777000.0;1344000.0;29226000.0;1488.68374032162;244.07385348421678;112.47766527695056;1132.1322215604528;40.023823704586064;92.62716188677211;1528.707564026206;1621.3347259129782;4877000.0;145.23525908278737;0.9741644453557515;1.6805413163830223;;
1111;Sokndal;2022;381;612.0;22443.0;57000.0;0.0;0.0;7000.0;877000.0;93.13725490196079;0.0;0.0;93.13725490196079;11.437908496732026;39.076772267522166;104.57516339869281;143.65193566621497;0.0;0.0;;;drift_urimelig_lav|energi_urimelig_lav|renhold_urimelig_lav;kwh_null|kwh_urimelig_lav
1112;Lund;2022;381;2550.0;23592.0;4567000.0;1730000.0;633000.0;20000.0;421000.0;1790.9803921568628;678.4313725490196;248.23529411764707;864.3137254901961;7.8431372549019605;17.845032214309935;1798.8235294117646;1816.6685616260745;706000.0;276.8627450980392;1.0;2.45042492917847;;
1114;Bjerkreim;2022;381;0.0;17774.0;155000.0;75000.0;0.0;0.0;406000.0;;;;;;;;;0.0;;;;areal_mangler;areal_mangler|kwh_mangler
1119;Hå;2022;381;0.0;88908.0;0.0;0.0;0.0;0.0;3283000.0;;;;;;;;;0.0;;;;areal_mangler|drift_null;areal_mangler|kwh_mangler
1120;Klepp;2022;381;11796.0;89364.0;9458000.0;1495000.0;817000.0;1186000.0;2338000.0;801.7972193964056;126.73787724652425;69.26076636147847;605.7985757884029;100.54255679891489;26.162660579204154;902.3397761953205;928.5024367745247;1538000.0;130.38318073923364;0.9570871261378413;0.9720416124837452;;
1121;Time;2022;381;5979.0;87088.0;5066000.0;895000.0;1332000.0;439000.0;8181000.0;847.2988794112728;149.69058370965044;222.77972905168087;474.8285666499415;73.42364943970564;93.93946353114092;920.7225288509784;1014.6619923821193;556000.0;92.99213915370463;1.0;1.6097122302158273;;
1122;Gjesdal;2022;381;4195.0;57501.0;2573000.0;1119000.0;484000.0;514000.0;3284000.0;613.3492252681764;266.74612634088203;115.37544696066746;231.22765196662695;122.52681764004768;57.11205022521347;735.8760429082241;792.9880931334376;962000.0;229.3206197854589;1.0;1.1632016632016633;;
1124;Sola;2022;381;18781.0;185461.0;21476000.0;7395000.0;1657000.0;2000000.0;13526000.0;1143.496086470369;393.7490016506043;88.2274639263085;661.5196208934561;106.49060220435547;72.93177541369883;1249.9866886747245;1322.9184640884234;4059000.0;216.12267717373942;0.7536338999753633;1.8218773096821876;;
